
key;url
GR;https://grosserrat.bs.ch/
GPK;https://grosserrat.bs.ch/gremien/oberaufsicht/geschaeftspruefung
BRK;https://grosserrat.bs.ch/gremien/sachkommissionen/bau-raumplanung
BKK;https://grosserrat.bs.ch/gremien/sachkommissionen/bildung-kultur
GSK;https://grosserrat.bs.ch/gremien/sachkommissionen/gesundheit-soziales
JSSK;https://grosserrat.bs.ch/gremien/sachkommissionen/justiz-sicherheit-sport
RegioKo;https://grosserrat.bs.ch/gremien/sachkommissionen/regio
UVEK;https://grosserrat.bs.ch/gremien/sachkommissionen/umwelt-verkehr-energie
WAK;https://grosserrat.bs.ch/gremien/sachkommissionen/wirtschaft-abgaben
??1;https://grosserrat.bs.ch/gremien/trinationale-gremien/oberrheinrat
DR;https://grosserrat.bs.ch/gremien/trinationale-gremien/districtsrat
IGPK Uni;https://grosserrat.bs.ch/gremien/interparlamentarische-gremien/igpk-universitaet
IGPK UKBB;https://grosserrat.bs.ch/gremien/interparlamentarische-gremien/igpk-kinderspital
IGPK Hafen;https://grosserrat.bs.ch/gremien/interparlamentarische-gremien/igpk-rheinhaefen
IGPK UKBB;https://grosserrat.bs.ch/gremien/interparlamentarische-gremien/ipk-fachhochschule
IGPK IPH;https://grosserrat.bs.ch/gremien/interparlamentarische-gremien/igpk-polizeischule
IPK;https://grosserrat.bs.ch/gremien/interparlamentarische-gremien/interparl-konferenz-der-nordwestschweiz
ILK;https://grosserrat.bs.ch/gremien/interparlamentarische-gremien/interkantonale-legislativkonferenz
BegnKo;https://grosserrat.bs.ch/gremien/weitere-kommissionen/begnadigungskommission
DisKo;https://grosserrat.bs.ch/gremien/weitere-kommissionen/disziplinarkommission
PetKo;https://grosserrat.bs.ch/gremien/weitere-kommissionen/petitionskommission
WVKo;https://grosserrat.bs.ch/gremien/weitere-kommissionen/wahlvorbereitungskommission
??2;https://grosserrat.bs.ch/gremien/weitere-kommissionen/spezialkommissionen-und-puk
??3;https://grosserrat.bs.ch/gremien/weitere-kommissionen/ratsexterne-gremien
SP;https://grosserrat.bs.ch/gremien/parteien-und-fraktionen/sp
GAB;https://grosserrat.bs.ch/gremien/parteien-und-fraktionen/gab
LDP;https://grosserrat.bs.ch/gremien/parteien-und-fraktionen/ldp
SVP;https://grosserrat.bs.ch/gremien/parteien-und-fraktionen/svp
EVP;https://grosserrat.bs.ch/gremien/parteien-und-fraktionen/mitte-evp
GLP;https://grosserrat.bs.ch/gremien/parteien-und-fraktionen/glp
FTP;https://grosserrat.bs.ch/gremien/parteien-und-fraktionen/fdp
Fraktionslose;https://grosserrat.bs.ch/gremien/parteien-und-fraktionen/fraktionslos




