;signatur;geschaftstyp;partei;urheber;titel;beginn_datum;ende;schwerpunkt;geschaft;status;jahr;themes;pdf_file_url;content
0;22.5309;Petition;;;"Petition P449 ""Keine Aufhebung oder Verschiebung von den Bushaltestellen Linie 31, 38 Thomaskirche, Ensisheimerstrasse, Blotzheimerstrasse im Iselin-Quartier""";2022-06-22;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200111868;A;2022;;https://grosserrat.bs.ch/dokumente/100397/000000397534.pdf;tbd
1;22.5308;Interpellation;VA;Weber, Eric;Interpellation Nr. 75 Eric Weber betreffend Vermummungsverbot in Basel;2022-09-14;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200111867;A;2022;Recht & Strafvollzug|Politische Beteiligung;https://grosserrat.bs.ch/dokumente/100397/000000397533.pdf;tbd
2;22.5303;Schriftliche Anfrage;GLP;Sieber, Johannes;Schriftliche Anfrage Johannes Sieber betreffend Berücksichtigung von Lebensraum bei Städteplanung Klybeck & Westquai;2022-06-01;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200111855;A;2022;Areale & Quartiere|Politische Beteiligung;https://grosserrat.bs.ch/dokumente/100397/000000397423.pdf;tbd
3;22.5302;Motion;SVP;Thüring, Joël;Motion Joël Thüring und Konsorten betreffend Eindämmung überbordender Bürokratie;2022-06-22;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200111854;B;2022;;https://grosserrat.bs.ch/dokumente/100397/000000397422.pdf;tbd
4;22.5294;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend neue Nachtzug-Linien ab Basel;2022-06-01;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200111847;B;2022;;https://grosserrat.bs.ch/dokumente/100397/000000397415.pdf;tbd
5;22.529;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend Taxis in Basel;2022-06-01;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200111843;B;2022;;https://grosserrat.bs.ch/dokumente/100397/000000397411.pdf;tbd
6;22.5286;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend warum nimmt die Polizei Basel Schlüsseldienst-Firmen aus Basel-Land und nicht aus Basel-Stadt?;2022-06-01;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200111842;B;2022;;https://grosserrat.bs.ch/dokumente/100397/000000397410.pdf;tbd
7;22.5288;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend Hotelgäste in Basel;2022-06-01;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200111841;B;2022;;https://grosserrat.bs.ch/dokumente/100397/000000397409.pdf;tbd
8;22.5289;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend Oligarchen-Flugzeuge in Basel;2022-06-01;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200111840;B;2022;;https://grosserrat.bs.ch/dokumente/100397/000000397408.pdf;tbd
9;22.5279;Schriftliche Anfrage;SP;Nussbaumer, Melanie;Schriftliche Anfrage Melanie Nussbaumer betreffend Ersatzfreiheitsstrafen in Basel-Stadt;2022-06-01;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200111835;B;2022;;https://grosserrat.bs.ch/dokumente/100397/000000397402.pdf;tbd
