signatur;pdf_file_url;key;summary
22.5309;https://grosserrat.bs.ch/dokumente/100397/000000397534.pdf;000000397534.pdf;"Der neutrale Quartierverein Kannenfeld in Basel hat eine Petition an den Regierungsrat des Kantons Basel-Stadt gerichtet. In der Petition wird gefordert, dass keine Aufhebung oder Verschiebung der Bushaltestellen Linie 31, 38 im lselin-Quartier vorgenommen wird. Das Bau- und Verkehrsdepartement plant, die Bushaltestellen in der Hegenheimerstrasse hindernisfrei umzubauen und den öffentlichen Verkehr um 30 Sekunden zu beschleunigen. Dafür soll die Bushaltestelle ""Ensisheimerstrasse"" aufgehoben und die Bushaltestellen ""Thomaskirche und Blotzheimerstrasse"" verschoben werden. Die Unterzeichnenden der Petition fordern, dass die Bushaltestellen nicht aufgehoben oder verschoben werden und stattdessen hindernisfrei umgebaut werden. Die Petition kann von allen unterschrieben werden, unabhängig von Alter, Aufenthaltsstatus oder Wohnort. Einsendeschluss für die Petition ist der 30.05.2022."
22.5308;https://grosserrat.bs.ch/dokumente/100397/000000397533.pdf;000000397533.pdf;Die Interpellation Nr. 75 im September 2022 befasst sich mit dem Vermummungsverbot in Basel (22.5308.01). Es wird vermutet, dass die Polizei das Verbot nicht konsequent durchsetzt. Die Interpellation stellt Fragen zur Existenz des Verbots, warum es nicht durchgesetzt wird und ob es bereits Geldstrafen oder Urteile gegen Verstöße gab. Eric Weber ist der Verfasser der Interpellation.
22.5303;https://grosserrat.bs.ch/dokumente/100397/000000397423.pdf;000000397423.pdf;"Der Regierungsrat wird gebeten, Fragen zur zukünftigen Nutzung des Rheinbords und des Gebiets Klybeck & Westquai zu beantworten. Es soll geklärt werden, wie sowohl die Freizeitnutzung als auch das Wohnen in Ufernähe ermöglicht werden können. Es wird nach der aktuellen Nutzung des Gebiets Klybeck & Westquai gefragt und wie sich die Freizeitnutzung durch die Neugestaltung verändern wird. Es wird untersucht, ob eine mögliche Verdrängung der heutigen Freizeitnutzung in anderen Stadtteilen durch Ersatzflächen am Wasser kompensiert werden kann. Es wird gefragt, ob Teile der bestehenden Nutzungen auf der Ex-Esso-Parzelle in der Stadtplanung berücksichtigt werden können und ob alternative Anlegeplätze für das Expo-Schiff ""Nordstern"" und die Integration des Leuchtturmschiffs ""Gannet"" in die Parkplanung möglich sind. Es wird nach der weiteren Planung der Stadtentwicklung und der Partizipation der Bevölkerung gefragt."
22.5302;https://grosserrat.bs.ch/dokumente/100397/000000397422.pdf;000000397422.pdf;Die Motionäre fordern den Regierungsrat auf, die Wohnschutzkommission zu reformieren, um die überbordende Bürokratie einzudämmen. Sie schlagen vor, dass die Kommission selbst für ihren Auftritt nach außen verantwortlich ist und dass die Formulare in den nächsten 6 Monaten vereinfacht und benutzerfreundlicher gestaltet werden. Außerdem soll die Erreichbarkeit der Kommission verbessert werden, um den Bedürfnissen der Bürger gerecht zu werden.
22.5294;https://grosserrat.bs.ch/dokumente/100397/000000397415.pdf;000000397415.pdf;Der Regierungsrat wird um Informationen zu neuen Nachtzug-Verbindungen ab Basel ab Dezember 2022 gebeten. Es wird betont, dass Basel eine wichtige Verbindung in alle Himmelsrichtungen ist und dass Nachtzug-Verbindungen in den Norden, Süden, Osten und Westen von Bedeutung sind. Eric Weber fragt, ob sich der Regierungsrat automatisch für Nachtzug-Verbindungen ab Basel einsetzt, um die Stadt gut in Europa zu repräsentieren.
22.529;https://grosserrat.bs.ch/dokumente/100397/000000397411.pdf;000000397411.pdf;Der Kanton Basel-Stadt hat einen offiziellen Taxitarif eingeführt, der von den meisten Unternehmen jedoch nicht eingehalten wird. Es gibt einen festgelegten Grundpreis und Kilometerpreise, die je nach Tageszeit variieren. Es gibt Beschwerden darüber, dass Taxifahrer am Badischen Bahnhof Fahrten ablehnen, da sie lieber längere Fahrten machen, die ihnen mehr Geld einbringen. Es wird nach einer Beschwerdestelle beim Kanton und der Verbindlichkeit der Taxitarife gefragt.
22.5286;https://grosserrat.bs.ch/dokumente/100397/000000397410.pdf;000000397410.pdf;Die Polizei Basel beauftragt regelmäßig Schlüsseldienste, um Wohnungen und Häuser zu öffnen. Kosten werden vom Mieter oder Hausbesitzer getragen. Die Firmen G. in Therwil, O. in Binningen und Basilisk in Basel erhalten hauptsächlich Aufträge. Warum die Polizei nicht direkt bezahlt und ob ein Schlüsseldienst Aufträge ablehnen darf, wird diskutiert. Zudem wird die Bevorzugung von Schlüsseldiensten aus Basel-Land statt Basel-Stadt hinterfragt.
22.5288;https://grosserrat.bs.ch/dokumente/100397/000000397409.pdf;000000397409.pdf;In Basel müssen Hotels alle Gäste registrieren und diese Informationen an die Polizei weitergeben. Eine schriftliche Anfrage stellt Fragen zum Meldeprozess, zur Speicherungsdauer der Daten und bittet um Befreiung von Datenschutzbestimmungen, um die eigenen Hotelübernachtungen der letzten drei Jahre herauszufinden. Es wird erwähnt, dass viele russische Stewardessen von Oligarchen-Jets in Basel unterwegs sind und daher auch in der Hotel-Meldeliste aufgeführt werden müssen. Eric Weber ist der Verfasser der Anfrage und fragt nach Informationen zu den Übernachtungen von Russen in Basel im Jahr 2021 und bis heute im Jahr 2022.
22.5289;https://grosserrat.bs.ch/dokumente/100397/000000397408.pdf;000000397408.pdf;Der Kanton Basel-Stadt möchte Informationen über die in Basel befindlichen Oligarchen-Flugzeuge erhalten, insbesondere da regelmäßig russische Personen in Basel sind und auf ihre Flugzeuge warten. Es werden vier Fragen gestellt, darunter ob die Regierung über diese Flugzeuge Bescheid weiß und warum sie nicht danach fragt, ob sie das Recht hat, Informationen über Flugzeuge von Putin, anderen Staatspräsidenten oder Oligarchen zu erhalten, und ob sie von der Maschine des russischen Staatspräsidenten Lukaschenko wusste, die vor einem Jahr in Basel war.
22.5279;https://grosserrat.bs.ch/dokumente/100397/000000397402.pdf;000000397402.pdf;Die WoZ berichtete, dass in der Schweiz viele Haftantritte aufgrund unbezahlter Bussen oder Geldstrafen erfolgen, wobei die Delikte oft nicht erfasst werden. Besonders betroffen sind Menschen mit niedrigem Einkommen. In Basel sollen nun Fragen zu den erfassten Delikten, den Statistiken, den Kosten der Ersatzfreiheitsstrafen und der Möglichkeit der Umwandlung in gemeinnützige Arbeit beantwortet werden.
