Jahr;FDP, RDP;PdA, KP;LDP, LP;EVP, VEW;SP;LdU;CVP, KVP;GB, FraB, POB;GLP;DSP;SVP, BGP;VA, SD, UVP, NA;Andere
1902;67;0;35;0;22;0;3;0;0;0;0;0;3
1905;51;0;30;0;38;0;10;0;0;0;0;0;1
1908;42;0;27;0;43;0;17;0;0;0;0;0;1
1911;36;0;23;0;47;0;17;0;0;0;6;0;1
1914;30;0;22;0;44;0;17;0;0;0;17;0;0
1917;22;0;18;0;59;0;15;0;0;0;16;0;0
1920;18;0;18;2;63;0;11;0;0;0;13;0;5
1923;19;16;18;2;45;0;11;0;0;0;14;0;5
1926;16;22;18;3;39;0;13;0;0;0;15;0;4
1929;18;25;18;3;34;0;13;0;0;0;15;0;4
1932;23;19;16;3;38;0;14;0;0;0;13;0;4
1935;20;16;15;3;46;0;13;0;0;0;10;0;7
1938;19;15;16;1;51;5;14;0;0;0;5;0;4
1941;17;0;15;1;55;21;11;0;0;0;4;0;6
1944;17;18;16;0;45;9;13;0;0;0;6;0;6
1947;19;31;17;2;32;6;13;0;0;0;5;0;5
1950;20;18;13;4;38;10;16;0;0;0;5;0;6
1953;25;14;14;5;38;7;18;0;0;0;5;0;4
1956;21;16;12;5;40;9;19;0;0;0;4;0;4
1960;24;8;18;5;39;9;20;0;0;0;0;0;7
1964;25;8;18;5;42;11;19;0;0;0;0;0;2
1968;19;8;19;5;36;19;20;0;0;0;0;2;2
1972;13;9;19;6;36;12;17;5;0;0;0;10;3
1976;17;8;19;6;39;8;16;7;0;0;0;9;1
1980;21;6;18;7;37;5;18;13;0;0;0;4;1
1984;21;3;15;10;28;5;15;15;0;11;0;7;0
1988;19;2;15;7;27;8;15;17;0;9;0;10;1
1992;21;1;17;6;32;3;15;14;0;10;3;8;0
1996;17;0;14;6;39;0;13;20;0;10;3;8;0
2000;18;0;16;6;39;0;14;12;0;6;14;5;0
2004;17;0;12;6;46;0;11;16;0;6;15;0;1
2008;11;0;9;4;32;0;8;13;5;3;14;0;1
2012;12;0;10;1;33;0;8;13;5;0;15;2;1
2016;10;0;14;1;34;0;7;14;4;0;15;0;1
2020;7;0;14;3;30;0;7;18;8;0;11;1;1
